Sample	LR999924.1	LR999925.1	LR999926.1	LR999927.1	LR999928.1	LR999929.1	LR999930.1	LR999931.1	LR999932.1	LR999933.1	LR999934.1	LR999935.1	LR999936.1	LR999937.1	LR999938.1	LR999939.1	LR999940.1	LR999941.1	LR999942.1	LR999943.1	LR999944.1	LR999945.1	LR999946.1	LR999947.1	LR999948.1	LR999949.1	LR999950.1	LR999951.1	LR999952.1	LR999953.1	LR999954.1	LR999955.1	*
HDAL_PF_A_4	[1665699, 17040296]	[3552624, 16607008]	[2428107, 16362069]	[2233556, 16090551]	[2915177, 16000791]	[2541364, 15952094]	[1622597, 15715213]	[2296526, 15572524]	[3326238, 15426761]	[1887457, 15296561]	[1801120, 14945938]	[5299725, 14868897]	[1781817, 14774369]	[1143859, 14615999]	[1248325, 14605406]	[856152, 13916383]	[19487, 13819298]	[1850866, 13774036]	[1938034, 13550656]	[1824073, 13236624]	[1012660, 12933853]	[1314227, 12861081]	[803786, 12594674]	[5862083, 11704087]	[1153383, 11326783]	[915451, 11199261]	[1196246, 9960137]	[434504, 9839934]	[816147, 8262369]	[1951358, 8178468]	[490195, 7379297]	[490126, 6166334]	[0, 0]
HDAL_PF_H_1	[2479054, 17040296]	[5892875, 16607008]	[4154436, 16362069]	[2116665, 16090551]	[1925422, 16000791]	[2675759, 15952094]	[2283084, 15715213]	[3375421, 15572524]	[2081418, 15426761]	[1744348, 15296561]	[1811986, 14945938]	[2950130, 14868897]	[3162605, 14774369]	[1979020, 14615999]	[2065842, 14605406]	[1382161, 13916383]	[18828, 13819298]	[6403774, 13774036]	[2060199, 13550656]	[2848314, 13236624]	[1189948, 12933853]	[1785968, 12861081]	[1290267, 12594674]	[681423, 11704087]	[868993, 11326783]	[1354046, 11199261]	[1416985, 9960137]	[688961, 9839934]	[2511867, 8262369]	[1107136, 8178468]	[629601, 7379297]	[617592, 6166334]	[0, 0]
HDAL_PF_H_18	[1666770, 17040296]	[2766636, 16607008]	[2980896, 16362069]	[3689993, 16090551]	[1287040, 16000791]	[1547385, 15952094]	[1461402, 15715213]	[2823624, 15572524]	[1782659, 15426761]	[2547653, 15296561]	[2451294, 14945938]	[1530975, 14868897]	[1324120, 14774369]	[1151800, 14615999]	[1063091, 14605406]	[1429330, 13916383]	[14224, 13819298]	[9467344, 13774036]	[1259501, 13550656]	[2934519, 13236624]	[786028, 12933853]	[1057181, 12861081]	[912435, 12594674]	[387442, 11704087]	[583151, 11326783]	[904050, 11199261]	[651777, 9960137]	[402018, 9839934]	[2636685, 8262369]	[625606, 8178468]	[952238, 7379297]	[466390, 6166334]	[0, 0]
HDAL_PF_H_3	[2251533, 17040296]	[7946916, 16607008]	[5363807, 16362069]	[2280984, 16090551]	[2371259, 16000791]	[2533135, 15952094]	[2977005, 15715213]	[3956796, 15572524]	[2206644, 15426761]	[1985811, 15296561]	[1864894, 14945938]	[3572986, 14868897]	[3681351, 14774369]	[2161346, 14615999]	[2208312, 14605406]	[1510287, 13916383]	[31785, 13819298]	[2848058, 13774036]	[2352275, 13550656]	[2514519, 13236624]	[1360117, 12933853]	[2007943, 12861081]	[1456692, 12594674]	[785748, 11704087]	[981164, 11326783]	[1695187, 11199261]	[1287298, 9960137]	[814272, 9839934]	[1175361, 8262369]	[1112784, 8178468]	[711334, 7379297]	[631815, 6166334]	[0, 0]
HDAL_PF_H_4	[2110720, 17040296]	[4963382, 16607008]	[3587868, 16362069]	[1909633, 16090551]	[2011453, 16000791]	[2370655, 15952094]	[2093974, 15715213]	[3007724, 15572524]	[2256089, 15426761]	[1585600, 15296561]	[1776446, 14945938]	[2993833, 14868897]	[2662710, 14774369]	[1732405, 14615999]	[1786753, 14605406]	[1234817, 13916383]	[24525, 13819298]	[4663303, 13774036]	[1856946, 13550656]	[2239386, 13236624]	[1049964, 12933853]	[1626311, 12861081]	[1185026, 12594674]	[1690688, 11704087]	[1096434, 11326783]	[1252409, 11199261]	[1086383, 9960137]	[650655, 9839934]	[1739466, 8262369]	[2695953, 8178468]	[574425, 7379297]	[564986, 6166334]	[0, 0]
HDAL_PMA_A_1	[748428, 17040296]	[1282110, 16607008]	[925335, 16362069]	[1014287, 16090551]	[873816, 16000791]	[666725, 15952094]	[694930, 15715213]	[1020958, 15572524]	[597116, 15426761]	[646201, 15296561]	[456867, 14945938]	[1267328, 14868897]	[803020, 14774369]	[556851, 14615999]	[606260, 14605406]	[388911, 13916383]	[16486, 13819298]	[728309, 13774036]	[1676059, 13550656]	[736377, 13236624]	[223981, 12933853]	[775124, 12861081]	[425095, 12594674]	[336781, 11704087]	[263262, 11326783]	[481098, 11199261]	[361890, 9960137]	[156226, 9839934]	[403344, 8262369]	[504891, 8178468]	[202072, 7379297]	[156944, 6166334]	[0, 0]
HDAL_PMA_H_1	[2606190, 17040296]	[6280468, 16607008]	[4483895, 16362069]	[2578274, 16090551]	[2225132, 16000791]	[2841515, 15952094]	[2306990, 15715213]	[3729280, 15572524]	[2217615, 15426761]	[1845104, 15296561]	[1842851, 14945938]	[3032899, 14868897]	[3056582, 14774369]	[2179529, 14615999]	[1974227, 14605406]	[1425745, 13916383]	[22627, 13819298]	[5073616, 13774036]	[2447404, 13550656]	[2879662, 13236624]	[1315349, 12933853]	[1995781, 12861081]	[1495703, 12594674]	[790421, 11704087]	[927527, 11326783]	[1687067, 11199261]	[1281832, 9960137]	[773551, 9839934]	[2316710, 8262369]	[1268267, 8178468]	[709124, 7379297]	[729465, 6166334]	[0, 0]
HDAL_PMB_A_1	[2117929, 17040296]	[5355529, 16607008]	[4167629, 16362069]	[2231754, 16090551]	[3234636, 16000791]	[2835407, 15952094]	[2028177, 15715213]	[3105124, 15572524]	[2065332, 15426761]	[1615756, 15296561]	[1777305, 14945938]	[2933647, 14868897]	[2255946, 14774369]	[1784070, 14615999]	[1591832, 14605406]	[1325308, 13916383]	[23183, 13819298]	[1992622, 13774036]	[4327462, 13550656]	[2184732, 13236624]	[1843452, 12933853]	[1646317, 12861081]	[1380367, 12594674]	[1716247, 11704087]	[1293637, 11326783]	[1246663, 11199261]	[1330985, 9960137]	[574345, 9839934]	[1035133, 8262369]	[1196871, 8178468]	[663521, 7379297]	[653036, 6166334]	[0, 0]
HDAL_PMB_H_1	[3625519, 17040296]	[6553386, 16607008]	[6961713, 16362069]	[2751103, 16090551]	[2852259, 16000791]	[3371693, 15952094]	[4439730, 15715213]	[5160850, 15572524]	[2803567, 15426761]	[2486449, 15296561]	[2428474, 14945938]	[4058794, 14868897]	[3372590, 14774369]	[2684735, 14615999]	[2688720, 14605406]	[2365597, 13916383]	[29713, 13819298]	[3174541, 13774036]	[2976056, 13550656]	[2971341, 13236624]	[1567857, 12933853]	[2374375, 12861081]	[2399289, 12594674]	[1003426, 11704087]	[1808764, 11326783]	[1991045, 11199261]	[1738766, 9960137]	[987486, 9839934]	[1435981, 8262369]	[1266675, 8178468]	[821787, 7379297]	[802225, 6166334]	[0, 0]
HDAL_PM_A_18	[2529454, 17040296]	[4716834, 16607008]	[2763910, 16362069]	[4553030, 16090551]	[2346127, 16000791]	[2771895, 15952094]	[2317878, 15715213]	[3572245, 15572524]	[2123395, 15426761]	[3096373, 15296561]	[1835654, 14945938]	[3264073, 14868897]	[2333695, 14774369]	[1566600, 14615999]	[1584047, 14605406]	[1134524, 13916383]	[23859, 13819298]	[4018228, 13774036]	[4742474, 13550656]	[2884262, 13236624]	[1539091, 12933853]	[1861849, 12861081]	[1215036, 12594674]	[2793078, 11704087]	[892749, 11326783]	[1204654, 11199261]	[1995885, 9960137]	[573020, 9839934]	[2133783, 8262369]	[1277290, 8178468]	[633779, 7379297]	[676225, 6166334]	[0, 0]
HDAL_PM_A_3	[2328272, 17040296]	[4327686, 16607008]	[3690196, 16362069]	[3764617, 16090551]	[2309319, 16000791]	[3074233, 15952094]	[2134424, 15715213]	[3812004, 15572524]	[2318897, 15426761]	[1708730, 15296561]	[1549659, 14945938]	[3361982, 14868897]	[1922118, 14774369]	[1771516, 14615999]	[1695016, 14605406]	[1306008, 13916383]	[34805, 13819298]	[2391096, 13774036]	[3512471, 13550656]	[2749173, 13236624]	[1232804, 12933853]	[1709193, 12861081]	[1616193, 12594674]	[1419200, 11704087]	[864878, 11326783]	[1386122, 11199261]	[2023907, 9960137]	[478014, 9839934]	[1112777, 8262369]	[1409592, 8178468]	[811056, 7379297]	[656048, 6166334]	[0, 0]
HDAL_PM_H_18	[2438215, 17040296]	[6531301, 16607008]	[4360983, 16362069]	[2438420, 16090551]	[1977431, 16000791]	[2725565, 15952094]	[2350922, 15715213]	[3375605, 15572524]	[2031564, 15426761]	[1746807, 15296561]	[1739839, 14945938]	[3048064, 14868897]	[3264519, 14774369]	[2139478, 14615999]	[2022663, 14605406]	[1371351, 13916383]	[20361, 13819298]	[6574627, 13774036]	[2236105, 13550656]	[2554801, 13236624]	[1240511, 12933853]	[1905437, 12861081]	[1282882, 12594674]	[702594, 11704087]	[881486, 11326783]	[1412993, 11199261]	[1255735, 9960137]	[706826, 9839934]	[2619790, 8262369]	[1221150, 8178468]	[661403, 7379297]	[646483, 6166334]	[0, 0]
HDAL_PM_H_3	[2796935, 17040296]	[4504357, 16607008]	[6082240, 16362069]	[4475654, 16090551]	[1931865, 16000791]	[2391313, 15952094]	[3349123, 15715213]	[4215684, 15572524]	[2341152, 15426761]	[2579386, 15296561]	[3373781, 14945938]	[2313084, 14868897]	[1934657, 14774369]	[2020474, 14615999]	[1718764, 14605406]	[1853389, 13916383]	[18646, 13819298]	[3936734, 13774036]	[1996338, 13550656]	[3278123, 13236624]	[1063962, 12933853]	[1438484, 12861081]	[1383142, 12594674]	[743156, 11704087]	[953648, 11326783]	[1410758, 11199261]	[914952, 9960137]	[521295, 9839934]	[1737820, 8262369]	[905000, 8178468]	[1321184, 7379297]	[710222, 6166334]	[0, 0]
HDAL_V_A_1	[1621077, 17040296]	[2351871, 16607008]	[1993819, 16362069]	[9467090, 16090551]	[2010276, 16000791]	[1159556, 15952094]	[1742088, 15715213]	[1114379, 15572524]	[1472827, 15426761]	[820792, 15296561]	[1289379, 14945938]	[1536774, 14868897]	[1690226, 14774369]	[1389396, 14615999]	[1170101, 14605406]	[632971, 13916383]	[17119, 13819298]	[801749, 13774036]	[22360525, 13550656]	[3100848, 13236624]	[468132, 12933853]	[2349367, 12861081]	[403533, 12594674]	[1063711, 11704087]	[628773, 11326783]	[793972, 11199261]	[1021394, 9960137]	[210625, 9839934]	[325036, 8262369]	[754899, 8178468]	[367986, 7379297]	[491461, 6166334]	[0, 0]
