Sample	LR999924.1	LR999925.1	LR999926.1	LR999927.1	LR999928.1	LR999929.1	LR999930.1	LR999931.1	LR999932.1	LR999933.1	LR999934.1	LR999935.1	LR999936.1	LR999937.1	LR999938.1	LR999939.1	LR999940.1	LR999941.1	LR999942.1	LR999943.1	LR999944.1	LR999945.1	LR999946.1	LR999947.1	LR999948.1	LR999949.1	LR999950.1	LR999951.1	LR999952.1	LR999953.1	LR999954.1	LR999955.1	*
HDLI_V_A_1	[1973204, 17040296]	[2825339, 16607008]	[1881729, 16362069]	[6036435, 16090551]	[1832943, 16000791]	[1083548, 15952094]	[1900978, 15715213]	[1361493, 15572524]	[1128589, 15426761]	[1212920, 15296561]	[1393601, 14945938]	[1265284, 14868897]	[1999245, 14774369]	[1128646, 14615999]	[914341, 14605406]	[699004, 13916383]	[3247, 13819298]	[1000103, 13774036]	[18797430, 13550656]	[3611462, 13236624]	[455734, 12933853]	[1381992, 12861081]	[1165823, 12594674]	[1188622, 11704087]	[480719, 11326783]	[735925, 11199261]	[791277, 9960137]	[251269, 9839934]	[410202, 8262369]	[677343, 8178468]	[361345, 7379297]	[335473, 6166334]	[0, 0]
HDLI_V_A_18	[1747357, 17040296]	[2939254, 16607008]	[1673871, 16362069]	[5481774, 16090551]	[1921246, 16000791]	[1056347, 15952094]	[2121805, 15715213]	[1263576, 15572524]	[936949, 15426761]	[1031515, 15296561]	[1049294, 14945938]	[1199324, 14868897]	[1989467, 14774369]	[1068712, 14615999]	[720207, 14605406]	[644116, 13916383]	[3758, 13819298]	[849240, 13774036]	[19165399, 13550656]	[3425762, 13236624]	[420810, 12933853]	[1294823, 12861081]	[1186134, 12594674]	[1014544, 11704087]	[411342, 11326783]	[716294, 11199261]	[562766, 9960137]	[232615, 9839934]	[391995, 8262369]	[568990, 8178468]	[399060, 7379297]	[345985, 6166334]	[0, 0]
HDLI_V_A_3	[2720655, 17040296]	[3988257, 16607008]	[2457067, 16362069]	[10694905, 16090551]	[4170144, 16000791]	[1327748, 15952094]	[4164347, 15715213]	[1840146, 15572524]	[1763225, 15426761]	[1531554, 15296561]	[1673402, 14945938]	[2480566, 14868897]	[4055787, 14774369]	[2179565, 14615999]	[1878596, 14605406]	[1256859, 13916383]	[10997, 13819298]	[1323514, 13774036]	[39973677, 13550656]	[2487378, 13236624]	[634787, 12933853]	[2684376, 12861081]	[912495, 12594674]	[2793771, 11704087]	[839203, 11326783]	[1116853, 11199261]	[1500397, 9960137]	[390784, 9839934]	[496891, 8262369]	[938883, 8178468]	[515139, 7379297]	[657892, 6166334]	[0, 0]
HDLI_V_A_4	[1520539, 17040296]	[2127185, 16607008]	[1720947, 16362069]	[8392967, 16090551]	[2095966, 16000791]	[897866, 15952094]	[2135664, 15715213]	[1246031, 15572524]	[947151, 15426761]	[780622, 15296561]	[947538, 14945938]	[1220240, 14868897]	[2396134, 14774369]	[1343409, 14615999]	[764801, 14605406]	[669525, 13916383]	[3840, 13819298]	[795158, 13774036]	[29679869, 13550656]	[1524474, 13236624]	[431922, 12933853]	[947034, 12861081]	[438170, 12594674]	[1324855, 11704087]	[545654, 11326783]	[695525, 11199261]	[550489, 9960137]	[170016, 9839934]	[351449, 8262369]	[606456, 8178468]	[381299, 7379297]	[312183, 6166334]	[0, 0]
HDLI_V_H_1	[1624379, 17040296]	[2323668, 16607008]	[1481372, 16362069]	[1899586, 16090551]	[1816306, 16000791]	[882554, 15952094]	[1673312, 15715213]	[1285296, 15572524]	[901065, 15426761]	[974218, 15296561]	[868763, 14945938]	[1387700, 14868897]	[1886476, 14774369]	[1035355, 14615999]	[840451, 14605406]	[725679, 13916383]	[9143, 13819298]	[1779590, 13774036]	[3601702, 13550656]	[2124953, 13236624]	[401632, 12933853]	[789799, 12861081]	[751800, 12594674]	[960417, 11704087]	[494074, 11326783]	[668636, 11199261]	[593968, 9960137]	[262795, 9839934]	[750510, 8262369]	[648631, 8178468]	[352819, 7379297]	[286757, 6166334]	[0, 0]
HDLI_V_H_18	[2577993, 17040296]	[3687274, 16607008]	[1888268, 16362069]	[2001811, 16090551]	[3178827, 16000791]	[1179824, 15952094]	[2106513, 15715213]	[1766606, 15572524]	[1249292, 15426761]	[1611671, 15296561]	[1188589, 14945938]	[1991171, 14868897]	[3178213, 14774369]	[1667268, 14615999]	[1460445, 14605406]	[1242770, 13916383]	[13484, 13819298]	[2143043, 13774036]	[3664326, 13550656]	[2457635, 13236624]	[491063, 12933853]	[1087374, 12861081]	[1058436, 12594674]	[1776667, 11704087]	[838804, 11326783]	[917051, 11199261]	[903672, 9960137]	[347651, 9839934]	[976799, 8262369]	[978145, 8178468]	[451101, 7379297]	[358519, 6166334]	[0, 0]
HDLI_V_H_3	[1939957, 17040296]	[3114880, 16607008]	[2165402, 16362069]	[3758510, 16090551]	[2541074, 16000791]	[1319012, 15952094]	[2085566, 15715213]	[1940430, 15572524]	[1338934, 15426761]	[1306879, 15296561]	[1159673, 14945938]	[1803952, 14868897]	[2203701, 14774369]	[1595174, 14615999]	[1281997, 14605406]	[1070078, 13916383]	[16532, 13819298]	[1624658, 13774036]	[8454167, 13550656]	[2564735, 13236624]	[558706, 12933853]	[1343107, 12861081]	[1076248, 12594674]	[1192239, 11704087]	[718476, 11326783]	[953311, 11199261]	[786498, 9960137]	[372340, 9839934]	[678005, 8262369]	[945656, 8178468]	[459044, 7379297]	[430878, 6166334]	[0, 0]
HDLI_V_H_4	[2349705, 17040296]	[3681140, 16607008]	[2411936, 16362069]	[2077318, 16090551]	[3218582, 16000791]	[1455355, 15952094]	[2340231, 15715213]	[2209280, 15572524]	[1441691, 15426761]	[1648904, 15296561]	[1262730, 14945938]	[2058992, 14868897]	[2773692, 14774369]	[1725291, 14615999]	[1459828, 14605406]	[1306623, 13916383]	[19725, 13819298]	[2158827, 13774036]	[2658811, 13550656]	[3268788, 13236624]	[678911, 12933853]	[1235946, 12861081]	[1363364, 12594674]	[1476675, 11704087]	[905293, 11326783]	[1038976, 11199261]	[898492, 9960137]	[435064, 9839934]	[1017113, 8262369]	[1040264, 8178468]	[514019, 7379297]	[486371, 6166334]	[0, 0]
LDAL_ADF_A_1	[1294733, 17040296]	[2895916, 16607008]	[2470875, 16362069]	[1496725, 16090551]	[1911168, 16000791]	[1331145, 15952094]	[1695535, 15715213]	[2292344, 15572524]	[1524729, 15426761]	[1188145, 15296561]	[1029152, 14945938]	[1796367, 14868897]	[1746099, 14774369]	[1470951, 14615999]	[1245779, 14605406]	[909994, 13916383]	[23242, 13819298]	[1650861, 13774036]	[1861979, 13550656]	[1638394, 13236624]	[660430, 12933853]	[1111723, 12861081]	[821753, 12594674]	[694965, 11704087]	[653707, 11326783]	[957247, 11199261]	[626772, 9960137]	[396252, 9839934]	[680480, 8262369]	[824444, 8178468]	[448188, 7379297]	[421809, 6166334]	[0, 0]
LDAL_ADF_A_18	[3252207, 17040296]	[6979878, 16607008]	[6277716, 16362069]	[3534361, 16090551]	[4112576, 16000791]	[3684099, 15952094]	[3807135, 15715213]	[4782163, 15572524]	[3581857, 15426761]	[3046167, 15296561]	[3338252, 14945938]	[4213520, 14868897]	[4207470, 14774369]	[4035446, 14615999]	[2971839, 14605406]	[2551807, 13916383]	[133766, 13819298]	[3867779, 13774036]	[5211104, 13550656]	[6415827, 13236624]	[1601116, 12933853]	[2573117, 12861081]	[1998128, 12594674]	[2226212, 11704087]	[1730455, 11326783]	[2504646, 11199261]	[1546686, 9960137]	[859889, 9839934]	[1904998, 8262369]	[2552995, 8178468]	[1386352, 7379297]	[1277790, 6166334]	[0, 0]
LDAL_ADF_A_4	[4675978, 17040296]	[8940076, 16607008]	[6385829, 16362069]	[5846951, 16090551]	[6197430, 16000791]	[4409427, 15952094]	[6886512, 15715213]	[6417675, 15572524]	[5260515, 15426761]	[4586215, 15296561]	[4827972, 14945938]	[5875991, 14868897]	[7193628, 14774369]	[5625760, 14615999]	[4891751, 14605406]	[3230054, 13916383]	[114766, 13819298]	[4722905, 13774036]	[8267065, 13550656]	[7259486, 13236624]	[2002247, 12933853]	[4628631, 12861081]	[2879016, 12594674]	[2299373, 11704087]	[2040868, 11326783]	[3117890, 11199261]	[2203680, 9960137]	[1402644, 9839934]	[2491483, 8262369]	[2869524, 8178468]	[2103250, 7379297]	[1534199, 6166334]	[0, 0]
LDAL_ADF_H_1	[3541016, 17040296]	[3791773, 16607008]	[6826852, 16362069]	[2148867, 16090551]	[2250846, 16000791]	[1926788, 15952094]	[8548875, 15715213]	[3433569, 15572524]	[2272105, 15426761]	[2095750, 15296561]	[1783148, 14945938]	[2452332, 14868897]	[2243683, 14774369]	[1737554, 14615999]	[1834569, 14605406]	[1720250, 13916383]	[27040, 13819298]	[3479233, 13774036]	[2389119, 13550656]	[3738439, 13236624]	[1044409, 12933853]	[1978361, 12861081]	[1404138, 12594674]	[825097, 11704087]	[1060755, 11326783]	[1140475, 11199261]	[1081949, 9960137]	[625468, 9839934]	[976562, 8262369]	[1085039, 8178468]	[508456, 7379297]	[481266, 6166334]	[0, 0]
LDAL_ADF_H_18	[4307668, 17040296]	[3723626, 16607008]	[6033002, 16362069]	[2137255, 16090551]	[3667954, 16000791]	[2019019, 15952094]	[8763504, 15715213]	[3578866, 15572524]	[2616809, 15426761]	[2619823, 15296561]	[2063161, 14945938]	[3395229, 14868897]	[3088522, 14774369]	[2176229, 14615999]	[2197714, 14605406]	[2120162, 13916383]	[119005, 13819298]	[3083383, 13774036]	[2475183, 13550656]	[3414559, 13236624]	[1107949, 12933853]	[3401660, 12861081]	[2259897, 12594674]	[1361068, 11704087]	[1213687, 11326783]	[1292346, 11199261]	[1306815, 9960137]	[765207, 9839934]	[1176967, 8262369]	[1375298, 8178468]	[683444, 7379297]	[536730, 6166334]	[0, 0]
LDAL_ADF_H_3	[2971034, 17040296]	[3253621, 16607008]	[4918371, 16362069]	[1886224, 16090551]	[2063469, 16000791]	[1833037, 15952094]	[6299620, 15715213]	[3226090, 15572524]	[2006407, 15426761]	[1917415, 15296561]	[1637989, 14945938]	[2316644, 14868897]	[2000190, 14774369]	[1592857, 14615999]	[1627010, 14605406]	[1608766, 13916383]	[24065, 13819298]	[2497693, 13774036]	[2139996, 13550656]	[4387670, 13236624]	[887956, 12933853]	[1710699, 12861081]	[1487160, 12594674]	[768647, 11704087]	[881628, 11326783]	[1001050, 11199261]	[984487, 9960137]	[572876, 9839934]	[931974, 8262369]	[907236, 8178468]	[543666, 7379297]	[427897, 6166334]	[0, 0]
LDAL_ADF_H_4	[4234939, 17040296]	[4025737, 16607008]	[5681249, 16362069]	[2368856, 16090551]	[3156462, 16000791]	[2090264, 15952094]	[7738073, 15715213]	[3727339, 15572524]	[2563027, 15426761]	[2811746, 15296561]	[2098641, 14945938]	[3720009, 14868897]	[2838852, 14774369]	[2005443, 14615999]	[2238215, 14605406]	[2018414, 13916383]	[48857, 13819298]	[3045357, 13774036]	[2454114, 13550656]	[3939461, 13236624]	[1158789, 12933853]	[2371741, 12861081]	[2035046, 12594674]	[1141611, 11704087]	[1160017, 11326783]	[1170563, 11199261]	[1346224, 9960137]	[821626, 9839934]	[1051179, 8262369]	[1157861, 8178468]	[725939, 7379297]	[576178, 6166334]	[0, 0]
LDAL_ADMA_H_3	[3832545, 17040296]	[4039076, 16607008]	[5803408, 16362069]	[2388809, 16090551]	[2417620, 16000791]	[2201669, 15952094]	[7586447, 15715213]	[3873218, 15572524]	[2438590, 15426761]	[2281094, 15296561]	[1967696, 14945938]	[2726345, 14868897]	[2330096, 14774369]	[1842649, 14615999]	[1970220, 14605406]	[1846660, 13916383]	[19402, 13819298]	[3050587, 13774036]	[2720417, 13550656]	[4886532, 13236624]	[1094171, 12933853]	[2019252, 12861081]	[1749747, 12594674]	[841696, 11704087]	[1028808, 11326783]	[1191090, 11199261]	[1143580, 9960137]	[702579, 9839934]	[1096744, 8262369]	[1030948, 8178468]	[629458, 7379297]	[515717, 6166334]	[0, 0]
LDAL_ADMB_A_3	[3507387, 17040296]	[4438204, 16607008]	[4184556, 16362069]	[2936244, 16090551]	[3617207, 16000791]	[2668484, 15952094]	[3194946, 15715213]	[3661189, 15572524]	[2260516, 15426761]	[2474142, 15296561]	[2079129, 14945938]	[2816591, 14868897]	[3645266, 14774369]	[2476148, 14615999]	[2433526, 14605406]	[1775828, 13916383]	[87265, 13819298]	[2279702, 13774036]	[3171864, 13550656]	[3946025, 13236624]	[1396743, 12933853]	[2753849, 12861081]	[2661760, 12594674]	[1367556, 11704087]	[1448728, 11326783]	[3169273, 11199261]	[1045311, 9960137]	[5511722, 9839934]	[1954554, 8262369]	[1535118, 8178468]	[1125498, 7379297]	[2294112, 6166334]	[0, 0]
LDAL_ADMB_H_3	[4471730, 17040296]	[4241743, 16607008]	[6846959, 16362069]	[2863106, 16090551]	[2818607, 16000791]	[2154671, 15952094]	[10191065, 15715213]	[3951416, 15572524]	[2766746, 15426761]	[2480603, 15296561]	[2002167, 14945938]	[3177885, 14868897]	[2780107, 14774369]	[2019243, 14615999]	[2235112, 14605406]	[1772295, 13916383]	[44342, 13819298]	[3665593, 13774036]	[2511229, 13550656]	[3694651, 13236624]	[1299798, 12933853]	[2356950, 12861081]	[1776399, 12594674]	[928515, 11704087]	[1137323, 11326783]	[1211122, 11199261]	[1280145, 9960137]	[818588, 9839934]	[1070850, 8262369]	[1138864, 8178468]	[705928, 7379297]	[645908, 6166334]	[0, 0]
LDAL_ADM_A_1	[575487, 17040296]	[1372964, 16607008]	[2613676, 16362069]	[815183, 16090551]	[1019455, 16000791]	[1069904, 15952094]	[695736, 15715213]	[969838, 15572524]	[684925, 15426761]	[993173, 15296561]	[720046, 14945938]	[693491, 14868897]	[742900, 14774369]	[681735, 14615999]	[702020, 14605406]	[443418, 13916383]	[7783, 13819298]	[650953, 13774036]	[1205606, 13550656]	[1480673, 13236624]	[359448, 12933853]	[698904, 12861081]	[1281003, 12594674]	[342419, 11704087]	[282751, 11326783]	[1382851, 11199261]	[168546, 9960137]	[2421908, 9839934]	[425002, 8262369]	[530159, 8178468]	[291831, 7379297]	[400134, 6166334]	[0, 0]
LDAL_ADM_A_18	[2357541, 17040296]	[3766948, 16607008]	[4915390, 16362069]	[2020846, 16090551]	[2973125, 16000791]	[2277033, 15952094]	[2359887, 15715213]	[2898229, 15572524]	[1687116, 15426761]	[2187906, 15296561]	[1700280, 14945938]	[2349787, 14868897]	[2765741, 14774369]	[2553057, 14615999]	[1647590, 14605406]	[1630500, 13916383]	[68840, 13819298]	[1790233, 13774036]	[3489477, 13550656]	[6183764, 13236624]	[913008, 12933853]	[1774810, 12861081]	[3085160, 12594674]	[1333436, 11704087]	[965901, 11326783]	[3209819, 11199261]	[799833, 9960137]	[2642773, 9839934]	[1279789, 8262369]	[1321627, 8178468]	[830214, 7379297]	[1791943, 6166334]	[0, 0]
LDAL_ADM_H_1	[3970502, 17040296]	[4373290, 16607008]	[7207399, 16362069]	[2603230, 16090551]	[2589103, 16000791]	[2402328, 15952094]	[9184566, 15715213]	[4149284, 15572524]	[2553275, 15426761]	[2667471, 15296561]	[2270802, 14945938]	[2880008, 14868897]	[2500186, 14774369]	[2074887, 14615999]	[2072626, 14605406]	[2225710, 13916383]	[21301, 13819298]	[3652442, 13774036]	[2813628, 13550656]	[6379884, 13236624]	[1180667, 12933853]	[2100824, 12861081]	[1713961, 12594674]	[981903, 11704087]	[1146532, 11326783]	[1318167, 11199261]	[1234402, 9960137]	[729357, 9839934]	[1192813, 8262369]	[1327183, 8178468]	[723870, 7379297]	[531016, 6166334]	[0, 0]
LDAL_ADM_H_18	[3681738, 17040296]	[3797290, 16607008]	[6055211, 16362069]	[2092463, 16090551]	[2561916, 16000791]	[2050384, 15952094]	[8199467, 15715213]	[3877131, 15572524]	[2517267, 15426761]	[2371324, 15296561]	[1962219, 14945938]	[2681739, 14868897]	[2401044, 14774369]	[1694850, 14615999]	[2020745, 14605406]	[1788457, 13916383]	[28873, 13819298]	[2827834, 13774036]	[2138965, 13550656]	[3503447, 13236624]	[1175123, 12933853]	[2095632, 12861081]	[1705819, 12594674]	[894121, 11704087]	[1077177, 11326783]	[1105748, 11199261]	[1256894, 9960137]	[794245, 9839934]	[953224, 8262369]	[955712, 8178468]	[658967, 7379297]	[549410, 6166334]	[0, 0]
LDAL_III_A_1	[1886163, 17040296]	[3917421, 16607008]	[1990196, 16362069]	[2069831, 16090551]	[2091754, 16000791]	[1452711, 15952094]	[2289649, 15715213]	[1577909, 15572524]	[1335827, 15426761]	[946345, 15296561]	[1429050, 14945938]	[2109529, 14868897]	[2508300, 14774369]	[1570183, 14615999]	[1404590, 14605406]	[1622001, 13916383]	[7241, 13819298]	[1105742, 13774036]	[3655577, 13550656]	[2079929, 13236624]	[608966, 12933853]	[1195503, 12861081]	[983722, 12594674]	[1435021, 11704087]	[741364, 11326783]	[880459, 11199261]	[1401831, 9960137]	[403660, 9839934]	[621108, 8262369]	[626355, 8178468]	[416813, 7379297]	[397697, 6166334]	[0, 0]
LDAL_III_A_18	[1993499, 17040296]	[3557838, 16607008]	[2523927, 16362069]	[1426482, 16090551]	[2634040, 16000791]	[1513036, 15952094]	[2847703, 15715213]	[2289104, 15572524]	[1494538, 15426761]	[2033185, 15296561]	[1454260, 14945938]	[1962148, 14868897]	[3175887, 14774369]	[1496333, 14615999]	[1250263, 14605406]	[1029181, 13916383]	[9133, 13819298]	[1475239, 13774036]	[2094032, 13550656]	[4098135, 13236624]	[863056, 12933853]	[1381135, 12861081]	[2105043, 12594674]	[1462583, 11704087]	[718290, 11326783]	[976628, 11199261]	[1304844, 9960137]	[418233, 9839934]	[605105, 8262369]	[816447, 8178468]	[576474, 7379297]	[428344, 6166334]	[0, 0]
LDAL_III_A_3	[1825554, 17040296]	[3955977, 16607008]	[3022265, 16362069]	[1831256, 16090551]	[2570812, 16000791]	[1517596, 15952094]	[2191752, 15715213]	[2587309, 15572524]	[1397901, 15426761]	[2153096, 15296561]	[1310508, 14945938]	[1952435, 14868897]	[3315108, 14774369]	[1882353, 14615999]	[1261465, 14605406]	[1518411, 13916383]	[12923, 13819298]	[1641003, 13774036]	[1995214, 13550656]	[2909230, 13236624]	[1177929, 12933853]	[1193270, 12861081]	[1023291, 12594674]	[1752590, 11704087]	[746685, 11326783]	[1085045, 11199261]	[472616, 9960137]	[329634, 9839934]	[794865, 8262369]	[847481, 8178468]	[687755, 7379297]	[783819, 6166334]	[0, 0]
LDAL_III_A_4	[1995635, 17040296]	[4577188, 16607008]	[2468791, 16362069]	[2082800, 16090551]	[2620871, 16000791]	[1729501, 15952094]	[1947814, 15715213]	[2150014, 15572524]	[1395123, 15426761]	[1098279, 15296561]	[1359409, 14945938]	[2313695, 14868897]	[2638047, 14774369]	[2194647, 14615999]	[1375155, 14605406]	[1792746, 13916383]	[19914, 13819298]	[1302650, 13774036]	[2480460, 13550656]	[2144731, 13236624]	[680483, 12933853]	[1261795, 12861081]	[1145409, 12594674]	[1188166, 11704087]	[956505, 11326783]	[1097487, 11199261]	[1175999, 9960137]	[370727, 9839934]	[862979, 8262369]	[681031, 8178468]	[501020, 7379297]	[494739, 6166334]	[0, 0]
LDAL_III_H_1	[1626427, 17040296]	[4266356, 16607008]	[3397315, 16362069]	[1697030, 16090551]	[2318489, 16000791]	[2079532, 15952094]	[1866675, 15715213]	[2541292, 15572524]	[1442917, 15426761]	[1716902, 15296561]	[1419447, 14945938]	[2705483, 14868897]	[2218402, 14774369]	[1813614, 14615999]	[1850444, 14605406]	[1301961, 13916383]	[11861, 13819298]	[2042730, 13774036]	[2161970, 13550656]	[2399699, 13236624]	[837825, 12933853]	[1301128, 12861081]	[1034603, 12594674]	[832434, 11704087]	[954136, 11326783]	[1254650, 11199261]	[697904, 9960137]	[550558, 9839934]	[1124055, 8262369]	[1312050, 8178468]	[552152, 7379297]	[492408, 6166334]	[0, 0]
LDAL_III_H_18	[1702225, 17040296]	[2917002, 16607008]	[2137951, 16362069]	[1251578, 16090551]	[2385179, 16000791]	[1177718, 15952094]	[2226900, 15715213]	[1850500, 15572524]	[1162513, 15426761]	[1517337, 15296561]	[1174501, 14945938]	[2084041, 14868897]	[2796865, 14774369]	[1466206, 14615999]	[1287395, 14605406]	[981282, 13916383]	[9083, 13819298]	[2094283, 13774036]	[1678876, 13550656]	[2029346, 13236624]	[555646, 12933853]	[940784, 12861081]	[809543, 12594674]	[1465343, 11704087]	[831164, 11326783]	[856942, 11199261]	[735000, 9960137]	[374151, 9839934]	[890313, 8262369]	[982909, 8178468]	[460887, 7379297]	[376660, 6166334]	[0, 0]
LDAL_III_H_3	[3909658, 17040296]	[2516375, 16607008]	[2328298, 16362069]	[1740877, 16090551]	[1539091, 16000791]	[1650229, 15952094]	[4815316, 15715213]	[2767384, 15572524]	[1412880, 15426761]	[3436795, 15296561]	[2679578, 14945938]	[2139331, 14868897]	[2807009, 14774369]	[1903843, 14615999]	[1412273, 14605406]	[2045215, 13916383]	[7937, 13819298]	[1904211, 13774036]	[1127023, 13550656]	[4402605, 13236624]	[974463, 12933853]	[901496, 12861081]	[1018087, 12594674]	[960619, 11704087]	[489783, 11326783]	[655061, 11199261]	[585194, 9960137]	[658974, 9839934]	[1153843, 8262369]	[561751, 8178468]	[1134660, 7379297]	[518477, 6166334]	[0, 0]
LDAL_III_H_4	[1798200, 17040296]	[4866803, 16607008]	[3767219, 16362069]	[2009943, 16090551]	[2424052, 16000791]	[2571366, 15952094]	[2338757, 15715213]	[2795443, 15572524]	[1584178, 15426761]	[1648805, 15296561]	[1471372, 14945938]	[2926110, 14868897]	[2544642, 14774369]	[2101963, 14615999]	[1970712, 14605406]	[1711704, 13916383]	[15615, 13819298]	[2142363, 13774036]	[2242834, 13550656]	[2699308, 13236624]	[943153, 12933853]	[1421020, 12861081]	[1190839, 12594674]	[874592, 11704087]	[1005666, 11326783]	[1342937, 11199261]	[809854, 9960137]	[533129, 9839934]	[1357862, 8262369]	[1402642, 8178468]	[616692, 7379297]	[586882, 6166334]	[0, 0]
LDAL_PF_A_1	[4458672, 17040296]	[9034681, 16607008]	[5690445, 16362069]	[6648374, 16090551]	[4396326, 16000791]	[5219425, 15952094]	[3855894, 15715213]	[6489427, 15572524]	[3682396, 15426761]	[3945230, 15296561]	[3846415, 14945938]	[5930759, 14868897]	[4533963, 14774369]	[3047323, 14615999]	[3047457, 14605406]	[2230028, 13916383]	[116068, 13819298]	[17917072, 13774036]	[10033325, 13550656]	[4739909, 13236624]	[2276892, 12933853]	[3678943, 12861081]	[2194687, 12594674]	[3787806, 11704087]	[1473881, 11326783]	[2221614, 11199261]	[4730488, 9960137]	[999720, 9839934]	[6906273, 8262369]	[2742903, 8178468]	[1336036, 7379297]	[1349838, 6166334]	[0, 0]
LDAL_PF_A_18	[1836187, 17040296]	[3674443, 16607008]	[3264594, 16362069]	[3231785, 16090551]	[1984687, 16000791]	[2909988, 15952094]	[1916558, 15715213]	[3966209, 15572524]	[1978780, 15426761]	[1477226, 15296561]	[1743489, 14945938]	[2824002, 14868897]	[1877321, 14774369]	[1676932, 14615999]	[1391883, 14605406]	[1322952, 13916383]	[57240, 13819298]	[2198151, 13774036]	[6413928, 13550656]	[2324686, 13236624]	[898268, 12933853]	[1299004, 12861081]	[1089216, 12594674]	[1437955, 11704087]	[878953, 11326783]	[1227689, 11199261]	[1902343, 9960137]	[375752, 9839934]	[1079699, 8262369]	[1238451, 8178468]	[794920, 7379297]	[671524, 6166334]	[0, 0]
LDAL_PF_A_3	[2754504, 17040296]	[5405938, 16607008]	[3503644, 16362069]	[3690531, 16090551]	[3363616, 16000791]	[3078972, 15952094]	[2845560, 15715213]	[4247610, 15572524]	[2662872, 15426761]	[3030785, 15296561]	[2942684, 14945938]	[4572090, 14868897]	[3247371, 14774369]	[1959146, 14615999]	[2125622, 14605406]	[1421921, 13916383]	[48900, 13819298]	[3520623, 13774036]	[7667067, 13550656]	[3014555, 13236624]	[1335701, 12933853]	[2423360, 12861081]	[1546094, 12594674]	[1770874, 11704087]	[963983, 11326783]	[1490459, 11199261]	[1969982, 9960137]	[770733, 9839934]	[1566705, 8262369]	[1630275, 8178468]	[1059767, 7379297]	[781725, 6166334]	[0, 0]
LDAL_PF_A_4	[2750736, 17040296]	[6231687, 16607008]	[4921519, 16362069]	[3873432, 16090551]	[3494602, 16000791]	[3824186, 15952094]	[3300299, 15715213]	[6054096, 15572524]	[3558866, 15426761]	[2404611, 15296561]	[3235758, 14945938]	[4226451, 14868897]	[3081249, 14774369]	[2568655, 14615999]	[2173855, 14605406]	[1886626, 13916383]	[39432, 13819298]	[5791401, 13774036]	[6689617, 13550656]	[4146045, 13236624]	[1385297, 12933853]	[2370758, 12861081]	[1718056, 12594674]	[2010005, 11704087]	[1204571, 11326783]	[1817985, 11199261]	[3084990, 9960137]	[738485, 9839934]	[2285865, 8262369]	[1621183, 8178468]	[1390304, 7379297]	[908000, 6166334]	[0, 0]
LDAL_PF_H_1	[2055476, 17040296]	[5578263, 16607008]	[4087082, 16362069]	[2803896, 16090551]	[1931840, 16000791]	[2717532, 15952094]	[1820617, 15715213]	[3418885, 15572524]	[1874492, 15426761]	[1607254, 15296561]	[2310878, 14945938]	[2722376, 14868897]	[2601482, 14774369]	[1943556, 14615999]	[1673206, 14605406]	[1300979, 13916383]	[20426, 13819298]	[21216948, 13774036]	[2071123, 13550656]	[3419900, 13236624]	[1131582, 12933853]	[1679351, 12861081]	[1120908, 12594674]	[638272, 11704087]	[797173, 11326783]	[1344814, 11199261]	[1190742, 9960137]	[590310, 9839934]	[6866914, 8262369]	[1205740, 8178468]	[663054, 7379297]	[684447, 6166334]	[0, 0]
LDAL_PF_H_18	[3233798, 17040296]	[4652921, 16607008]	[6108324, 16362069]	[5268953, 16090551]	[2312333, 16000791]	[2673606, 15952094]	[3787849, 15715213]	[5187423, 15572524]	[2898423, 15426761]	[3133604, 15296561]	[4180329, 14945938]	[2754273, 14868897]	[2682653, 14774369]	[2138639, 14615999]	[2187733, 14605406]	[2154739, 13916383]	[27014, 13819298]	[4249500, 13774036]	[2210237, 13550656]	[3591048, 13236624]	[1211761, 12933853]	[1976005, 12861081]	[1680050, 12594674]	[945303, 11704087]	[1098310, 11326783]	[1630594, 11199261]	[1136589, 9960137]	[658907, 9839934]	[1622267, 8262369]	[1067986, 8178468]	[1317865, 7379297]	[911685, 6166334]	[0, 0]
LDAL_PF_H_3	[2006731, 17040296]	[4866704, 16607008]	[3805150, 16362069]	[2687282, 16090551]	[1925773, 16000791]	[2441426, 15952094]	[1992624, 15715213]	[3345786, 15572524]	[1974583, 15426761]	[1648377, 15296561]	[1928258, 14945938]	[2528383, 14868897]	[2340592, 14774369]	[1865931, 14615999]	[1706122, 14605406]	[1264836, 13916383]	[26670, 13819298]	[11867892, 13774036]	[2044184, 13550656]	[2631424, 13236624]	[1114363, 12933853]	[1687143, 12861081]	[1166428, 12594674]	[642784, 11704087]	[811793, 11326783]	[1319454, 11199261]	[1073905, 9960137]	[655896, 9839934]	[4345474, 8262369]	[1018241, 8178468]	[630388, 7379297]	[590698, 6166334]	[0, 0]
