"Category"	"Dmelanogaster"	"Mouse"	"Cfamiliaris"	"Arabidopsis"	"Human"	"Scerevisiae"	"Ecoli"	"Tuberculosis"	"PhiX"	"Multiple Genomes"	"No hits"
"10 LI ADF H_S114_L002_R2_001_BHCYNTDSX2_screen"	1250	337	257	175	103	66	2	1	0	3771	194103
"10 LI ADF A_S115_L002_R1_001_BHCYNTDSX2_screen"	715	196	152	251	151	88	1	0	0	1629	196957
"10 LI ADF A_S115_L002_R2_001_BHCYNTDSX2_screen"	803	270	243	254	148	86	1	0	0	4240	194095
"12 LI ADF H_S116_L002_R1_001_BHCYNTDSX2_screen"	948	171	114	214	132	64	3	0	0	1318	197301
"12 LI ADF H_S116_L002_R2_001_BHCYNTDSX2_screen"	1200	260	222	172	119	70	2	0	0	2582	195638
"12 LI ADF A_S117_L002_R1_001_BHCYNTDSX2_screen"	935	226	192	332	185	157	2	0	0	1929	195922
"12 LI ADF A_S117_L002_R2_001_BHCYNTDSX2_screen"	1066	351	282	315	183	133	3	0	0	3364	194183
"14 LI ADF H_S118_L002_R1_001_BHCYNTDSX2_screen"	868	165	139	186	100	65	0	0	0	1478	197045
"14 LI ADF H_S118_L002_R2_001_BHCYNTDSX2_screen"	1151	262	233	184	106	80	0	0	0	2866	195164
"14 LI ADF A_S18_L001_R1_001_BHCYNTDSX2_screen"	723	188	166	255	162	94	3	0	0	2093	196482
"14 LI ADF A_S18_L001_R2_001_BHCYNTDSX2_screen"	853	270	240	222	156	108	3	0	0	3073	195241
"16 LI ADF H_S119_L002_R1_001_BHCYNTDSX2_screen"	1700	238	195	207	174	76	74	1	0	1924	195768
"16 LI ADF H_S119_L002_R2_001_BHCYNTDSX2_screen"	2205	401	332	210	180	78	76	1	0	4632	192242
"16 LI ADF A_S120_L002_R1_001_BHCYNTDSX2_screen"	1369	215	218	263	169	111	8	0	0	1153	196800
"16 LI ADF A_S120_L002_R2_001_BHCYNTDSX2_screen"	1816	370	356	262	162	103	11	0	0	3310	193916
"X4 HDLI ADM H_S121_L002_R1_001_BHCYNTDSX2_screen"	1411	246	226	184	193	51	1	0	0	1821	195520
"X4 HDLI ADM H_S121_L002_R2_001_BHCYNTDSX2_screen"	1754	351	318	171	170	59	1	0	0	3605	193224
"X4 HDLI ADM A_S122_L002_R1_001_BHCYNTDSX2_screen"	1240	309	263	371	205	131	1	0	0	2471	194614
"X4 HDLI ADM A_S122_L002_R2_001_BHCYNTDSX2_screen"	1510	355	392	333	179	145	1	0	0	4690	192000
"X18 HDLI ADM H_S19_L001_R1_001_BHCYNTDSX2_screen"	1333	227	182	161	176	52	0	0	0	1678	196664
"X18 HDLI ADM H_S19_L001_R2_001_BHCYNTDSX2_screen"	1541	337	325	176	177	62	0	0	0	4980	192875
"X18 HDLI ADM A_S20_L001_R1_001_BHCYNTDSX2_screen"	1115	372	292	516	271	224	4	2	1	5464	192231
"X18 HDLI ADM A_S20_L001_R2_001_BHCYNTDSX2_screen"	1478	552	459	467	248	260	3	2	0	8040	188983
"X3 HDLI ADF H_S21_L001_R1_001_BHCYNTDSX2_screen"	1215	226	144	196	171	78	0	0	0	1925	195748
"X3 HDLI ADF H_S21_L001_R2_001_BHCYNTDSX2_screen"	1610	364	259	156	166	78	1	0	0	3777	193292
"X18 HDLI ADF H_S23_L001_R1_001_BHCYNTDSX2_screen"	1152	200	170	194	189	76	1	0	0	2178	195797
"X18 HDLI ADF H_S23_L001_R2_001_BHCYNTDSX2_screen"	1468	308	255	199	173	98	1	0	0	4137	193318
"X18 HDLI ADF A_S123_L002_R1_001_BHCYNTDSX2_screen"	1378	314	241	454	223	159	3	1	0	3116	193727
"X18 HDLI ADF A_S123_L002_R2_001_BHCYNTDSX2_screen"	1631	467	392	407	199	175	3	0	0	6108	190234
"X1 HDAL PMA H_S124_L002_R1_001_BHCYNTDSX2_screen"	1081	387	266	411	220	152	7	18	0	4807	192328
"X1 HDAL PMA H_S124_L002_R2_001_BHCYNTDSX2_screen"	1769	566	424	372	225	178	6	24	0	7479	188634
"X1 HDAL PMA A_S125_L002_R1_001_BHCYNTDSX2_screen"	3922	708	417	423	286	331	14	2	1	11212	183327
"X1 HDAL PMA A_S125_L002_R2_001_BHCYNTDSX2_screen"	7085	855	834	377	278	323	15	1	0	16296	174579
"X1 HDAL PMB H_S126_L002_R1_001_BHCYNTDSX2_screen"	851	319	182	329	237	119	1	0	0	2606	195491
"X1 HDAL PMB H_S126_L002_R2_001_BHCYNTDSX2_screen"	995	412	328	270	216	108	1	0	0	5456	192349
"X1 HDAL PMB A_S127_L002_R1_001_BHCYNTDSX2_screen"	1060	332	243	376	190	209	17	0	0	4326	193027
"X1 HDAL PMB A_S127_L002_R2_001_BHCYNTDSX2_screen"	1247	484	441	315	228	173	16	0	0	8584	188292
"X3 HDAL PM H_S128_L002_R1_001_BHCYNTDSX2_screen"	660	235	174	369	158	151	1	1	0	3359	195171
"X3 HDAL PM H_S128_L002_R2_001_BHCYNTDSX2_screen"	733	394	317	326	167	161	1	0	0	5192	192988
"X3 HDAL PM A_S129_L002_R1_001_BHCYNTDSX2_screen"	997	320	199	438	211	213	11	4	0	6121	191801
"X3 HDAL PM A_S129_L002_R2_001_BHCYNTDSX2_screen"	1633	523	489	392	238	227	11	2	0	9666	187134
"X18 HDAL PM H_S130_L002_R1_001_BHCYNTDSX2_screen"	817	330	188	317	193	104	3	0	0	2792	195398
"X18 HDAL PM H_S130_L002_R2_001_BHCYNTDSX2_screen"	914	406	302	241	205	131	5	2	0	5340	192596
"X18 HDAL PM A_S131_L002_R1_001_BHCYNTDSX2_screen"	1217	283	181	258	138	127	5	1	0	3692	194159
"X18 HDAL PM A_S131_L002_R2_001_BHCYNTDSX2_screen"	2220	421	318	256	152	155	7	3	0	5471	191058
"X1 HDAL PF H_S132_L002_R1_001_BHCYNTDSX2_screen"	696	296	215	301	236	117	1	2	0	2473	195513
"X1 HDAL PF H_S132_L002_R2_001_BHCYNTDSX2_screen"	871	398	323	279	211	108	2	1	0	4023	193634
"X1 HDAL PF A_S133_L002_R1_001_BHCYNTDSX2_screen"	998	329	197	368	166	164	1	1	0	4144	193238
"X1 HDAL PF A_S133_L002_R2_001_BHCYNTDSX2_screen"	1423	454	425	300	187	155	3	1	0	8829	187829
"X3 HDAL PF H_S134_L002_R1_001_BHCYNTDSX2_screen"	928	318	215	292	234	101	4	0	0	2583	195102
"X3 HDAL PF H_S134_L002_R2_001_BHCYNTDSX2_screen"	1180	399	264	258	202	96	6	0	0	3749	193623
"X3 HDAL PF A_S135_L002_R1_001_BHCYNTDSX2_screen"	1246	331	210	356	163	172	2	0	0	4858	192606
"X3 HDAL PF A_S135_L002_R2_001_BHCYNTDSX2_screen"	1889	502	345	333	166	174	2	2	0	6505	190026
"X4 HDAL PF H_S136_L002_R1_001_BHCYNTDSX2_screen"	663	293	140	323	212	110	9	1	0	2255	196249
"X4 HDAL PF H_S136_L002_R2_001_BHCYNTDSX2_screen"	757	335	251	249	180	117	9	1	0	3609	194747
"X4 HDAL PF A_S137_L002_R1_001_BHCYNTDSX2_screen"	695	215	162	286	145	107	20	0	0	2952	195492
"X4 HDAL PF A_S137_L002_R2_001_BHCYNTDSX2_screen"	958	334	274	241	136	118	18	1	0	4383	193611
"X18 HDAL PF H_S138_L002_R1_001_BHCYNTDSX2_screen"	523	248	140	295	143	154	8	2	0	4850	193101
"X18 HDAL PF H_S138_L002_R2_001_BHCYNTDSX2_screen"	628	423	306	306	183	203	7	2	0	6659	190747
"X18 HDAL PF A_S139_L002_R1_001_BHCYNTDSX2_screen"	986	275	197	421	138	140	7	0	0	3897	193965
"X18 HDAL PF A_S139_L002_R2_001_BHCYNTDSX2_screen"	1500	344	301	376	136	188	3	0	0	6114	191064
"X1 HDLI PM H_S140_L002_R1_001_BHCYNTDSX2_screen"	716	316	197	367	231	103	3	1	1	2714	195724
"X1 HDLI PM H_S140_L002_R2_001_BHCYNTDSX2_screen"	871	359	273	303	204	117	2	0	0	4103	194141
"X1 HDLI PM A_S141_L002_R1_001_BHCYNTDSX2_screen"	989	298	208	345	166	139	4	1	0	4041	194146
"X1 HDLI PM A_S141_L002_R2_001_BHCYNTDSX2_screen"	1540	414	345	323	143	155	5	1	0	5889	191522
"X3 HDLI PM H_S142_L002_R1_001_BHCYNTDSX2_screen"	681	330	187	317	191	145	1	0	0	3227	194854
"X3 HDLI PM H_S142_L002_R2_001_BHCYNTDSX2_screen"	771	390	290	287	192	139	1	0	0	4248	193615
"X3 HDLI PM A_S143_L002_R1_001_BHCYNTDSX2_screen"	1146	329	244	388	205	163	5	0	0	4496	192888
"X3 HDLI PM A_S143_L002_R2_001_BHCYNTDSX2_screen"	1570	458	369	324	188	186	5	0	0	7034	189730
"X4 HDLI PM H_S144_L002_R1_001_BHCYNTDSX2_screen"	574	254	181	425	180	147	1	0	0	3967	193862
"X4 HDLI PM H_S144_L002_R2_001_BHCYNTDSX2_screen"	654	480	364	388	179	183	1	1	0	7251	190090
"X4 HDLI PM A_S145_L002_R1_001_BHCYNTDSX2_screen"	638	263	209	459	222	163	0	0	0	3801	194058
"X4 HDLI PM A_S145_L002_R2_001_BHCYNTDSX2_screen"	891	408	447	424	291	147	0	0	0	8442	188763
"X18 HDLI PM H_S24_L001_R1_001_BHCYNTDSX2_screen"	465	250	199	324	151	174	0	1	0	3909	194983
"X18 HDLI PM H_S24_L001_R2_001_BHCYNTDSX2_screen"	493	601	395	293	201	157	0	0	0	9046	189270
"X18 HDLI PM A_S25_L001_R1_001_BHCYNTDSX2_screen"	507	202	160	410	150	129	1	0	0	2006	196713
"X18 HDLI PM A_S25_L001_R2_001_BHCYNTDSX2_screen"	621	315	350	333	191	116	1	0	0	6345	192006
"X1 HDLI PF A_S26_L001_R1_001_BHCYNTDSX2_screen"	940	319	216	411	194	170	1	1	0	3691	194141
"X1 HDLI PF A_S26_L001_R2_001_BHCYNTDSX2_screen"	1191	455	507	357	211	154	1	0	0	8609	188599
"X3 HDLI PF H_S27_L001_R1_001_BHCYNTDSX2_screen"	661	292	179	266	174	93	1	0	0	2339	196223
"X3 HDLI PF H_S27_L001_R2_001_BHCYNTDSX2_screen"	763	355	302	290	208	91	1	0	0	4358	193860
"X3 HDLI PF A_S28_L001_R1_001_BHCYNTDSX2_screen"	717	234	180	276	177	127	0	0	0	2289	195983
"X3 HDLI PF A_S28_L001_R2_001_BHCYNTDSX2_screen"	824	392	442	292	200	124	0	0	0	7486	190223
"X4 HDLI PF H_S29_L001_R1_001_BHCYNTDSX2_screen"	611	273	157	305	200	92	1	0	0	2467	196167
"X4 HDLI PF H_S29_L001_R2_001_BHCYNTDSX2_screen"	736	400	365	268	278	96	0	0	0	6069	192061
"X4 HDLI PF A_S30_L001_R1_001_BHCYNTDSX2_screen"	582	327	212	285	159	143	0	0	0	4449	193736
"X4 HDLI PF A_S30_L001_R2_001_BHCYNTDSX2_screen"	685	479	399	289	162	142	0	0	0	6360	191377
"X18 HDLI PF H_S31_L001_R1_001_BHCYNTDSX2_screen"	615	249	229	444	187	153	0	0	0	2533	196021
"X18 HDLI PF H_S31_L001_R2_001_BHCYNTDSX2_screen"	570	380	387	417	239	143	0	0	0	5621	192674
"X18 HDLI PF A_S32_L001_R1_001_BHCYNTDSX2_screen"	597	221	214	486	190	159	1	0	0	2213	195953
"X18 HDLI PF A_S32_L001_R2_001_BHCYNTDSX2_screen"	608	375	423	455	230	153	1	0	0	7457	190332
"X1 LDAL PM H_S33_L001_R1_001_BHCYNTDSX2_screen"	567	294	153	360	159	128	2	2	0	2535	195758
"X1 LDAL PM H_S33_L001_R2_001_BHCYNTDSX2_screen"	590	438	319	340	215	109	2	1	0	5145	192799
"X1 LDAL PM A_S34_L001_R1_001_BHCYNTDSX2_screen"	639	219	170	344	151	121	1	0	0	2932	195269
"X1 LDAL PM A_S34_L001_R2_001_BHCYNTDSX2_screen"	853	345	295	328	146	126	1	0	0	5041	192711
"X3 LDAL PM H_S35_L001_R1_001_BHCYNTDSX2_screen"	591	229	143	280	166	107	2	0	0	2485	196111
"X3 LDAL PM H_S35_L001_R2_001_BHCYNTDSX2_screen"	853	317	268	236	181	117	2	1	0	4149	193990
"X3 LDAL PM A_S36_L001_R1_001_BHCYNTDSX2_screen"	650	266	187	352	180	136	0	0	0	2684	195289
"X3 LDAL PM A_S36_L001_R2_001_BHCYNTDSX2_screen"	815	378	292	302	177	121	0	0	0	5486	192173
"X4 LDAL PM H_S37_L001_R1_001_BHCYNTDSX2_screen"	651	269	171	324	254	79	2	0	0	1944	195963
"X4 LDAL PM H_S37_L001_R2_001_BHCYNTDSX2_screen"	770	383	315	227	233	89	2	0	0	5449	192189
"X18 LDAL PM H_S39_L001_R1_001_BHCYNTDSX2_screen"	738	360	190	391	244	131	0	0	0	2433	195809
"X18 LDAL PM H_S39_L001_R2_001_BHCYNTDSX2_screen"	742	429	345	336	237	98	0	0	0	4744	193365
