"Category"	"Top over-represented sequence"	"Sum of remaining over-represented sequences"
"7 AL ADF A_S16_L001_R2_001_BHCYNTDSX2"	0.24335782985596255	0.11967091349762737
"9 AL ADF H_S108_L002_R1_001_BHCYNTDSX2"	0.1232035516468879	0.3272275998571683
"9 AL ADF H_S108_L002_R2_001_BHCYNTDSX2"	0.3263746259465695	1.1035922679425987
"9 AL ADF A_S109_L002_R1_001_BHCYNTDSX2"	0	0
"9 AL ADF A_S109_L002_R2_001_BHCYNTDSX2"	0.22313622980322906	0
"11 AL ADF H_S110_L002_R1_001_BHCYNTDSX2"	0.21686996664976987	0.44046055133684414
"11 AL ADF H_S110_L002_R2_001_BHCYNTDSX2"	0.41362957817641777	0.7783737412424038
"11 AL ADF A_S111_L002_R1_001_BHCYNTDSX2"	0.13119463801811274	0
"11 AL ADF A_S111_L002_R2_001_BHCYNTDSX2"	0.49732450931457195	0
"19 AL ADF A_S17_L001_R1_001_BHCYNTDSX2"	0	0
"19 AL ADF A_S17_L001_R2_001_BHCYNTDSX2"	0.40769112274182906	0.10426730473488177
"8 LI ADF H_S112_L002_R1_001_BHCYNTDSX2"	0.11052811099827803	0.20987032642488118
"8 LI ADF H_S112_L002_R2_001_BHCYNTDSX2"	0.8131315516932994	0.40988803054531486
"8 LI ADF A_S113_L002_R1_001_BHCYNTDSX2"	0	0
"8 LI ADF A_S113_L002_R2_001_BHCYNTDSX2"	0.256066819436052	0
"10 LI ADF H_S114_L002_R1_001_BHCYNTDSX2"	0.24635773024540802	0.35102790106430953
"10 LI ADF H_S114_L002_R2_001_BHCYNTDSX2"	0.41350511025356446	1.2552514003923712
"10 LI ADF A_S115_L002_R1_001_BHCYNTDSX2"	0	0
"10 LI ADF A_S115_L002_R2_001_BHCYNTDSX2"	0.5118028857580337	0
"12 LI ADF H_S116_L002_R1_001_BHCYNTDSX2"	0.2678221936867455	0.721884811514804
"12 LI ADF H_S116_L002_R2_001_BHCYNTDSX2"	0.17759938777221201	0.8979087893046691
"12 LI ADF A_S117_L002_R1_001_BHCYNTDSX2"	0	0
"12 LI ADF A_S117_L002_R2_001_BHCYNTDSX2"	0.29988299336150437	0
"14 LI ADF H_S118_L002_R1_001_BHCYNTDSX2"	0.2793133734597401	0.5191453234322185
"14 LI ADF H_S118_L002_R2_001_BHCYNTDSX2"	0.23706241318806223	1.0206767654989735
"14 LI ADF A_S18_L001_R1_001_BHCYNTDSX2"	0	0
"14 LI ADF A_S18_L001_R2_001_BHCYNTDSX2"	0.1574842416951803	0
"16 LI ADF H_S119_L002_R1_001_BHCYNTDSX2"	0.15481774530602177	0.49121203295499116
"16 LI ADF H_S119_L002_R2_001_BHCYNTDSX2"	0.5819861784197765	2.184754779262172
"16 LI ADF A_S120_L002_R1_001_BHCYNTDSX2"	0.14024787401857977	0.3491312270558765
"16 LI ADF A_S120_L002_R2_001_BHCYNTDSX2"	0.36197264412982566	0.9691826098275718
"X4 HDLI ADM H_S121_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDLI ADM H_S121_L002_R2_001_BHCYNTDSX2"	0.3348184353605423	0.5175553320675352
"X4 HDLI ADM A_S122_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDLI ADM A_S122_L002_R2_001_BHCYNTDSX2"	0.46404820842500155	0.530493244161899
"X18 HDLI ADM H_S19_L001_R1_001_BHCYNTDSX2"	0.12944577937779753	0
"X18 HDLI ADM H_S19_L001_R2_001_BHCYNTDSX2"	0.7074054121333565	0.47904867233514536
"X18 HDLI ADM A_S20_L001_R1_001_BHCYNTDSX2"	0	0
"X18 HDLI ADM A_S20_L001_R2_001_BHCYNTDSX2"	0.6590432399924198	0.13341841666891618
"X3 HDLI ADF H_S21_L001_R1_001_BHCYNTDSX2"	0.10727769861105506	0
"X3 HDLI ADF H_S21_L001_R2_001_BHCYNTDSX2"	0.31595953762591916	0.48389999501153563
"X18 HDLI ADF H_S23_L001_R1_001_BHCYNTDSX2"	0.1340915182508469	0
"X18 HDLI ADF H_S23_L001_R2_001_BHCYNTDSX2"	0.3680199414807811	0.5294040742248564
"X18 HDLI ADF A_S123_L002_R1_001_BHCYNTDSX2"	0.10183762092822453	0.1003206961561056
"X18 HDLI ADF A_S123_L002_R2_001_BHCYNTDSX2"	0.5276018859026774	0.6292381865679355
"X1 HDAL PMA H_S124_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDAL PMA H_S124_L002_R2_001_BHCYNTDSX2"	0.6040232046748574	1.424167515886427
"X1 HDAL PMA A_S125_L002_R1_001_BHCYNTDSX2"	0.653274556633146	12.199379138870208
"X1 HDAL PMA A_S125_L002_R2_001_BHCYNTDSX2"	1.3607817294656046	19.042802263144356
"X1 HDAL PMB H_S126_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDAL PMB H_S126_L002_R2_001_BHCYNTDSX2"	0.48854648768539044	0
"X1 HDAL PMB A_S127_L002_R1_001_BHCYNTDSX2"	0.1526676898941376	0
"X1 HDAL PMB A_S127_L002_R2_001_BHCYNTDSX2"	1.0314338958622171	0.3887060802173341
"X3 HDAL PM H_S128_L002_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL PM H_S128_L002_R2_001_BHCYNTDSX2"	0.3789251903990821	0
"X3 HDAL PM A_S129_L002_R1_001_BHCYNTDSX2"	0.11212056347126884	0.2164156243175875
"X3 HDAL PM A_S129_L002_R2_001_BHCYNTDSX2"	0.6973872063421112	1.952042396594359
"X18 HDAL PM H_S130_L002_R1_001_BHCYNTDSX2"	0	0
"X18 HDAL PM H_S130_L002_R2_001_BHCYNTDSX2"	0.4812249439076949	0
"X18 HDAL PM A_S131_L002_R1_001_BHCYNTDSX2"	0.1638039689928489	0.7009109958065831
"X18 HDAL PM A_S131_L002_R2_001_BHCYNTDSX2"	0.39220690341577186	3.115703866029096
"X1 HDAL PF H_S132_L002_R1_001_BHCYNTDSX2"	0.10479657098121761	0
"X1 HDAL PF H_S132_L002_R2_001_BHCYNTDSX2"	0.29944961670982456	0
"X1 HDAL PF A_S133_L002_R1_001_BHCYNTDSX2"	0.1017192166741778	0
"X1 HDAL PF A_S133_L002_R2_001_BHCYNTDSX2"	1.0485242702670559	1.4123721342929874
"X3 HDAL PF H_S134_L002_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL PF H_S134_L002_R2_001_BHCYNTDSX2"	0.19620199708717972	0.13046684320436175
"X3 HDAL PF A_S135_L002_R1_001_BHCYNTDSX2"	0.10741285814853682	0
"X3 HDAL PF A_S135_L002_R2_001_BHCYNTDSX2"	0.3028322096606377	1.9100214401741553
"X4 HDAL PF H_S136_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDAL PF H_S136_L002_R2_001_BHCYNTDSX2"	0.2763170557681286	0
"X4 HDAL PF A_S137_L002_R1_001_BHCYNTDSX2"	0.13227722083965862	0.11753841631062562
"X4 HDAL PF A_S137_L002_R2_001_BHCYNTDSX2"	0.2789865427615033	0.3207237701532563
"X18 HDAL PF H_S138_L002_R1_001_BHCYNTDSX2"	0.17316262064846466	0.11750450121337058
"X18 HDAL PF H_S138_L002_R2_001_BHCYNTDSX2"	0.38812998866361076	0
"X18 HDAL PF A_S139_L002_R1_001_BHCYNTDSX2"	0.11620036092788841	0
"X18 HDAL PF A_S139_L002_R2_001_BHCYNTDSX2"	0.44955345472696356	1.5041668156462014
"X1 HDLI PM H_S140_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDLI PM H_S140_L002_R2_001_BHCYNTDSX2"	0.21409122323112786	0
